,CIK,CONAME,FYRMO,FDATE,FORM,SECFNAME,mda_positive_score,mda_negative_score,mda_polarity_score,mda_average_sentence_length,mda_percentage_of_complex_words,mda_fog_index,mda_complex_word_count,mda_word_count,mda_uncertainty_score,mda_constraining_score,mda_positive_word_proportion,mda_negative_word_proportion,mda_uncertainty_word_proportion,mda_constraining_word_proportion,qqdmr_positive_score,qqdmr_negative_score,qqdmr_polarity_score,qqdmr_average_sentence_length,qqdmr_percentage_of_complex_words,qqdmr_fog_index,qqdmr_complex_word_count,qqdmr_word_count,qqdmr_uncertainty_score,qqdmr_constraining_score,qqdmr_positive_word_proportion,qqdmr_negative_word_proportion,qqdmr_uncertainty_word_proportion,qqdmr_constraining_word_proportion,rf_positive_score,rf_negative_score,rf_polarity_score,rf_average_sentence_length,rf_percentage_of_complex_words,rf_fog_index,rf_complex_word_count,rf_word_count,rf_uncertainty_score,rf_constraining_score,rf_positive_word_proportion,rf_negative_word_proportion,rf_uncertainty_word_proportion,rf_constraining_word_proportion,constraining_words_whole_report
46,4457,AMERCO /NV/,200008,8/11/00,10-Q,edgar/data/4457/0000004457-00-000080.txt,0,0,0.0,1.0,0.0,0.4,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.4,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.4,0,1,0,0,0.0,0.0,0.0,0.0,21
47,4457,AMERCO /NV/,200011,11/13/00,10-Q,edgar/data/4457/0000004457-00-000105.txt,0,0,0.0,1.0,0.0,0.4,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.4,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.4,0,1,0,0,0.0,0.0,0.0,0.0,77
48,4457,AMERCO /NV/,200102,2/14/01,10-Q,edgar/data/4457/0000004457-01-500024.txt,0,0,0.0,1.0,0.0,0.4,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.4,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.4,0,1,0,0,0.0,0.0,0.0,0.0,53
49,4457,AMERCO /NV/,200107,7/2/01,10-K,edgar/data/4457/0000004457-01-500063.txt,0,0,0.0,1.0,0.0,0.4,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.4,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.4,0,1,0,0,0.0,0.0,0.0,0.0,105
50,4457,AMERCO /NV/,200107,7/2/01,NT 10-K,edgar/data/4457/0000004457-01-500060.txt,0,0,0.0,1.0,0.0,0.4,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.4,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.4,0,1,0,0,0.0,0.0,0.0,0.0,5
51,4457,AMERCO /NV/,200108,8/10/01,10-Q,edgar/data/4457/0000004457-01-500081.txt,0,0,0.0,1.0,0.0,0.4,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.4,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.4,0,1,0,0,0.0,0.0,0.0,0.0,24
52,4457,AMERCO /NV/,200108,8/10/01,10-Q/A,edgar/data/4457/0000004457-01-500083.txt,0,0,0.0,1.0,0.0,0.4,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.4,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.4,0,1,0,0,0.0,0.0,0.0,0.0,17
53,4515,AMERICAN AIRLINES INC,200810,10/16/08,10-Q,edgar/data/4515/0000004515-08-000073.txt,0,0,0.0,1.0,0.0,0.4,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.4,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.4,0,1,0,0,0.0,0.0,0.0,0.0,221
54,4515,AMERICAN AIRLINES INC,200902,2/19/09,10-K,edgar/data/4515/0000004515-09-000008.txt,0,0,0.0,1.0,0.0,0.4,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.4,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.4,0,1,0,0,0.0,0.0,0.0,0.0,635
55,4515,AMERICAN AIRLINES INC,200904,4/16/09,10-Q,edgar/data/4515/0000004515-09-000018.txt,0,0,0.0,1.0,0.0,0.4,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.4,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.4,0,1,0,0,0.0,0.0,0.0,0.0,83
